Endo BEAN mu_Z_adj_SD<1,Repo BEAN mu_Z_adj SD<0.45
6.392523,
-5.4156,
-4.96624,
4.933112,3.732914
-4.75625,-3.90261
-4.72734,-5.16812
-4.61784,-4.19272
-4.61718,-2.45567
-4.52367,-1.84975
-4.45694,-4.85176
-4.41866,-4.82046
-4.34613,-3.58685
-4.33205,
-4.27169,-1.22977
-4.24662,
-4.18716,-4.36841
4.126288,0.070603
-4.0483,-0.27575
-3.95529,-3.10147
-3.93638,
-3.90117,-1.54978
-3.88461,-2.60263
-3.793,
-3.76152,-2.12133
3.715588,0.37074
-3.69879,
-3.65061,-0.59839
-3.6449,-3.85715
-3.63195,-0.70711
-3.56157,-1.57624
3.47589,
-3.47465,-1.19796
3.468522,0.328924
3.357581,-0.00637
-3.35451,-3.88221
-3.31385,-3.27123
-3.28326,
-3.28274,-3.34539
-3.27086,-1.97188
3.267887,
-3.23741,-1.55176
-3.2122,-1.77817
-3.17918,-4.01059
-3.16858,-1.28927
3.091337,
-3.06275,
-3.05695,-1.61846
-3.05203,-0.15154
3.033903,1.762485
-3.03352,
-3.03121,
3.017601,0.143692
-3.00126,
-2.99314,
2.985915,0.07101
2.98316,1.486396
2.978841,0.175422
2.872188,0.395358
-2.86253,-0.92827
-2.82308,-1.13234
-2.81655,-2.94617
-2.80642,-1.80095
-2.80339,-0.67098
2.794197,0.095772
2.793666,0.550365
2.770779,
-2.76525,-2.10111
-2.74155,-3.07316
-2.73243,-1.88314
2.68511,0.017562
-2.68445,-1.61468
2.639165,0.019621
-2.62655,-1.06173
2.595578,
-2.59404,-2.07751
2.59385,-0.65716
-2.59259,
2.577517,0.951167
-2.57033,-0.88219
2.564173,0.800315
-2.55906,
-2.54917,-0.92474
2.539834,0.292768
-2.52429,0.01318
-2.51378,-1.75425
2.513156,1.960678
-2.48095,-2.02582
2.474623,-0.04756
-2.45785,-0.01844
-2.45546,0.473239
-2.45524,-0.16086
2.452869,
2.442666,-0.05413
2.434088,1.454829
2.411126,0.044079
2.409637,0.941082
2.395459,-0.02136
-2.38081,
2.377219,-0.20354
-2.37568,
2.343847,
-2.331,
2.328564,-0.01436
2.318647,-0.00211
-2.3167,-0.35426
-2.28923,-2.34725
-2.28176,
2.281079,0.636302
2.259371,0.087192
2.25081,1.694765
2.236371,0.065311
2.216545,
2.213603,1.628724
2.207901,0.424795
-2.20766,-0.27602
2.197878,0.538354
-2.18531,-2.45302
-2.17795,-0.18613
-2.177,-0.07391
-2.17675,-0.40853
2.176446,
-2.15011,-0.89656
-2.1419,
2.139777,-0.84586
2.132692,0.774863
2.128782,
2.128268,0.82914
2.116139,
-2.10115,-0.06564
2.098053,-1.03546
2.094636,-0.19846
-2.0914,-1.06637
-2.07856,-0.52589
-2.07506,-0.82332
2.074272,-0.00965
-2.07056,0.831445
-2.04205,-2.29352
2.039701,0.627052
2.039604,0.303207
-2.03266,0.688381
-2.0277,
-2.02712,0.8636
2.020942,
-2.01715,0.054086
2.011519,-0.10472
2.010918,0.899435
-2.01017,
-2.00762,-0.55774
2.003389,-0.01263
1.996921,-0.10216
1.994552,-0.92655
1.991452,0.874616
1.986759,-0.03958
-1.98596,-0.29772
1.983553,0.910885
1.974138,
-1.97286,0.219939
-1.97128,-0.14644
-1.96664,-0.60503